monthnum,month,desk,groupname,contact_type,location,ctr
2015 Jun,06012015,baseservices,IT Active Directory L2,Chat,NNA/Corp - Atlanta HQ,4
2015 Jun,06012015,baseservices,IT Active Directory L2,Email,NNA/Corp - Atlanta HQ,3
2015 Jun,06012015,baseservices,IT Active Directory L2,Phone,NA - Changzhou Site Office,6
2015 Jun,06012015,baseservices,IT Active Directory L2,Phone,NA - Klang Malaysia,1
2015 Jun,06012015,baseservices,IT Active Directory L2,Phone,NA - Ulsan,1
2015 Jun,06012015,baseservices,IT Active Directory L2,Phone,NE - Bresso,1
2015 Jun,06012015,baseservices,IT Active Directory L2,Phone,NE - Goettingen,2
2015 Jun,06012015,baseservices,IT Active Directory L2,Phone,NE - Nachterstedt,1
2015 Jun,06012015,baseservices,IT Active Directory L2,Phone,NE - Ohle,11
2015 Jun,06012015,baseservices,IT Active Directory L2,Phone,NE - Pieve,1
2015 Jun,06012015,baseservices,IT Active Directory L2,Phone,NNA - Kennesaw R&T,1
2015 Jun,06012015,baseservices,IT Active Directory L2,Phone,NNA - Kingston,1
2015 Jun,06012015,baseservices,IT Active Directory L2,Phone,NNA - Oswego,5
2015 Jun,06012015,baseservices,IT Active Directory L2,Phone,NNA/Corp - Atlanta HQ,40
2015 Jun,06012015,baseservices,IT Active Directory L2,Phone,NSA - Pinda,2
2015 Jun,06012015,baseservices,IT Active Directory L2,Phone,NSA - Sao Paulo,2
2015 Jun,06012015,baseservices,IT Active Directory L2,Phone,NSA - Utinga,1
2015 Jun,06012015,baseservices,IT Active Directory L2,Self-service,NA - Changzhou Site Office,1
2015 Jun,06012015,baseservices,IT Active Directory L2,Self-service,NA - Seoul,1
2015 Jun,06012015,baseservices,IT Active Directory L2,Self-service,NA - Ulsan,1
2015 Jun,06012015,baseservices,IT Active Directory L2,Self-service,NE - Goettingen,4
2015 Jun,06012015,baseservices,IT Active Directory L2,Self-service,NE - Ohle,1
2015 Jun,06012015,baseservices,IT Active Directory L2,Self-service,NNA - Fairmont,1
2015 Jun,06012015,baseservices,IT Active Directory L2,Self-service,NNA - Greensboro,2
2015 Jun,06012015,baseservices,IT Active Directory L2,Self-service,NNA - Oswego,10
2015 Jun,06012015,baseservices,IT Active Directory L2,Self-service,NNA/Corp - Atlanta HQ,17
2015 Jun,06012015,baseservices,IT Active Directory L2,Self-service,NSA - Pinda,1
2015 Jun,06012015,baseservices,IT Active Directory L2,Walk-in,NNA/Corp - Atlanta HQ,1
2015 Jun,06012015,baseservices,IT Active Directory L2,Walk-in,NSA - Utinga,1
2015 Jun,06012015,baseservices,IT FIM AD Request Service Desk L2,Phone,NNA/Corp - Atlanta HQ,3
2015 Jun,06012015,baseservices,IT FIM AD Request Service Desk L2,Self-service,NNA/Corp - Atlanta HQ,1
2015 Jun,06012015,baseservices,IT FIM L2,Phone,NNA/Corp - Atlanta HQ,1
2015 Jun,06012015,baseservices,IT FIM L3,Phone,NNA - Oswego,1
2015 Jun,06012015,baseservices,IT FIM L3,Phone,NNA/Corp - Atlanta HQ,2
2015 Jun,06012015,baseservices,IT Messaging L2,Chat,NA - Seoul,1
2015 Jun,06012015,baseservices,IT Messaging L2,Chat,NNA - Oswego,1
2015 Jun,06012015,baseservices,IT Messaging L2,Chat,NNA - Terre Haute,1
2015 Jun,06012015,baseservices,IT Messaging L2,Chat,NNA/Corp - Atlanta HQ,4
2015 Jun,06012015,baseservices,IT Messaging L2,Email,NE - Nachterstedt,1
2015 Jun,06012015,baseservices,IT Messaging L2,Email,NNA - Oswego,1
2015 Jun,06012015,baseservices,IT Messaging L2,Email,NNA/Corp - Atlanta HQ,3
2015 Jun,06012015,baseservices,IT Messaging L2,Email,NSA - Pinda,2
2015 Jun,06012015,baseservices,IT Messaging L2,Phone,NA - Changzhou Site Office,2
2015 Jun,06012015,baseservices,IT Messaging L2,Phone,NA - Seoul,2
2015 Jun,06012015,baseservices,IT Messaging L2,Phone,NA - Shanghai,2
2015 Jun,06012015,baseservices,IT Messaging L2,Phone,NA - Ulsan,1
2015 Jun,06012015,baseservices,IT Messaging L2,Phone,NA - YeongJu,2
2015 Jun,06012015,baseservices,IT Messaging L2,Phone,NE - Bresso,1
2015 Jun,06012015,baseservices,IT Messaging L2,Phone,NE - Goettingen,6
2015 Jun,06012015,baseservices,IT Messaging L2,Phone,NE - Luedenscheid,1
2015 Jun,06012015,baseservices,IT Messaging L2,Phone,NE - Nachterstedt,2
2015 Jun,06012015,baseservices,IT Messaging L2,Phone,NE - Ohle,1
2015 Jun,06012015,baseservices,IT Messaging L2,Phone,NE - Pieve,2
2015 Jun,06012015,baseservices,IT Messaging L2,Phone,NE - Sierre,1
2015 Jun,06012015,baseservices,IT Messaging L2,Phone,NE - Zurich,1
2015 Jun,06012015,baseservices,IT Messaging L2,Phone,NNA - Berea,1
2015 Jun,06012015,baseservices,IT Messaging L2,Phone,NNA - Greensboro,3
2015 Jun,06012015,baseservices,IT Messaging L2,Phone,NNA - Kennesaw R&T,6
2015 Jun,06012015,baseservices,IT Messaging L2,Phone,NNA - Kingston,3
2015 Jun,06012015,baseservices,IT Messaging L2,Phone,NNA - Novi,1
2015 Jun,06012015,baseservices,IT Messaging L2,Phone,NNA - Oswego,15
2015 Jun,06012015,baseservices,IT Messaging L2,Phone,NNA - Warren,1
2015 Jun,06012015,baseservices,IT Messaging L2,Phone,NNA/Corp - Atlanta HQ,40
2015 Jun,06012015,baseservices,IT Messaging L2,Phone,NSA - Pinda,46
2015 Jun,06012015,baseservices,IT Messaging L2,Phone,NSA - Sao Paulo,2
2015 Jun,06012015,baseservices,IT Messaging L2,Phone,NSA - Utinga,1
2015 Jun,06012015,baseservices,IT Messaging L2,Self-service,NA - Seoul,4
2015 Jun,06012015,baseservices,IT Messaging L2,Self-service,NA - Shanghai,1
2015 Jun,06012015,baseservices,IT Messaging L2,Self-service,NA - Ulsan,2
2015 Jun,06012015,baseservices,IT Messaging L2,Self-service,NE - Bresso,1
2015 Jun,06012015,baseservices,IT Messaging L2,Self-service,NE - Goettingen,2
2015 Jun,06012015,baseservices,IT Messaging L2,Self-service,NE - Ohle,1
2015 Jun,06012015,baseservices,IT Messaging L2,Self-service,NE - Sierre,1
2015 Jun,06012015,baseservices,IT Messaging L2,Self-service,NE - Zurich,4
2015 Jun,06012015,baseservices,IT Messaging L2,Self-service,NNA - Greensboro,2
2015 Jun,06012015,baseservices,IT Messaging L2,Self-service,NNA - Kennesaw R&T,4
2015 Jun,06012015,baseservices,IT Messaging L2,Self-service,NNA - Kingston,1
2015 Jun,06012015,baseservices,IT Messaging L2,Self-service,NNA - Oswego,3
2015 Jun,06012015,baseservices,IT Messaging L2,Self-service,NNA/Corp - Atlanta HQ,36
2015 Jun,06012015,baseservices,IT Messaging L2,Self-service,NSA - Pinda,3
2015 Jun,06012015,baseservices,IT Messaging L2,Self-service,NSA - Sao Paulo,1
2015 Jun,06012015,baseservices,IT Messaging L2,Walk-in,NA - Klang Malaysia,2
2015 Jun,06012015,baseservices,IT Messaging L2,Walk-in,NNA/Corp - Atlanta HQ,1
2015 Jun,06012015,baseservices,IT Messaging L2,Walk-in,NSA - Pinda,1
2015 Jun,06012015,baseservices,IT Messaging L2,Walk-in,NSA - Sao Paulo,1
2015 Jun,06012015,baseservices,IT SCCM L2,Phone,NA - Ulsan,9
2015 Jun,06012015,baseservices,IT SCCM L2,Phone,NA - YeongJu,4
2015 Jun,06012015,baseservices,IT SCCM L2,Phone,NE - Goettingen,1
2015 Jun,06012015,baseservices,IT SCCM L2,Phone,NE - Sierre,1
